Name,resultRepList
明日がある理由,aware iya yasu yorokobi iya iya iya haji iya iya yorokobi yasu yorokobi iya
春のメロディー,yorokobi aware suki
時々 思い出してください,iya aware yorokobi suki suki iya yorokobi aware yorokobi
曖昧,iya suki
月の大きさ,yorokobi aware aware aware aware aware suki aware aware iya iya aware aware suki
未来の答え,yorokobi yorokobi iya yasu yorokobi
欲望のリインカーネーション,aware yasu aware suki iya aware yasu aware suki
毎日がBrand new day,suki suki aware aware suki
気づいたら片想い,suki aware aware iya kowa aware aware suki aware iya ikari iya suki kowa suki aware suki suki aware iya
水玉模様,takaburi iya suki yorokobi aware aware
泣いたっていいじゃないか,suki iya aware aware yorokobi aware kowa aware aware iya iya iya aware aware yorokobi aware aware yorokobi aware kowa aware
流星ディスコティック,yorokobi suki yorokobi suki suki
海流の島よ,iya yorokobi iya
涙がまだ悲しみだった頃,aware aware iya yasu aware aware yorokobi aware aware haji aware aware yorokobi aware
渋谷ブルース,iya ikari aware aware aware
満月が消えた,suki iya iya yorokobi iya
滑走路,aware yorokobi aware ikari suki suki suki iya ikari suki
無口なライオン,aware aware aware aware yorokobi iya yasu aware aware aware aware iya iya
無表情,yasu iya aware iya suki iya aware iya
狼に口笛を,yorokobi suki iya yorokobi
猫舌カモミールティー,yasu suki iya yasu yasu suki iya yasu yorokobi yasu yasu
環状六号線,aware suki aware suki aware
生まれたままで,iya yorokobi aware yasu ikari iya
白い雲にのって,yorokobi yorokobi yorokobi ikari aware iya yasu yasu yorokobi yorokobi
白米様,aware suki yorokobi yorokobi suki yorokobi suki
知りたいこと,kowa suki suki suki
硬い殻のように抱きしめたい,iya aware yasu aware iya iya aware aware
私、起きる。,yasu iya aware yasu yorokobi iya iya iya yasu
私のために 誰かのために,yorokobi haji aware yorokobi aware aware yorokobi aware yorokobi
空扉,aware ikari suki iya suki ikari suki
空気感,suki ikari iya yorokobi suki suki suki yasu ikari iya yorokobi suki suki suki suki yasu
立ち直り中,iya aware yorokobi yorokobi aware
羽根の記憶,yorokobi yorokobi suki iya iya suki
自分じゃない感じ,iya suki suki iya suki suki suki
自惚れビーチ,iya yorokobi yasu iya iya yorokobi aware iya
自由の彼方,iya iya aware aware yorokobi yasu yorokobi iya
行くあてのない僕たち,iya yorokobi iya aware aware yasu iya aware yorokobi yorokobi iya yorokobi iya aware
裸足でSummer,suki aware yorokobi iya iya yasu suki aware iya
言霊砲,suki yorokobi suki odoroki odoroki iya iya suki yorokobi suki
設定温度,kowa yasu takaburi suki kowa iya suki suki aware kowa iya
誰かは味方,haji iya kowa aware kowa yasu kowa
誰よりそばにいたい,yasu aware takaburi yorokobi yorokobi yorokobi yorokobi
走れ!Bicycle,suki aware suki takaburi suki suki
路面電車の街,suki haji suki
転がった鐘を鳴らせ!,yorokobi iya suki iya iya
逃げ水,suki
遠回りの愛情,yasu suki suki takaburi yasu suki suki
遥かなるブータン,yorokobi yorokobi aware aware yorokobi
醜い私,aware iya aware iya iya iya aware iya aware
釣り堀,suki suki iya kowa yorokobi suki iya
錆びたコンパス,kowa yorokobi yorokobi iya
隙間,iya aware kowa suki yorokobi
雲になればいい,iya ikari aware
革命の馬,aware iya yorokobi aware aware iya
音が出ないギター,iya suki ikari iya suki
頬杖をついては眠れない,kowa suki kowa
風船は生きている,yorokobi ikari haji takaburi aware iya iya iya aware yasu iya yasu ikari haji takaburi
魚たちのLOVE SONG,suki
～Do my best～じゃ意味はない,yorokobi iya
